product_id,product_name,life_cycle_stage,material_type,quantity_kg,energy_consumption_kwh,transport_distance_km,waste_generated_kg,carbon_impact,energy_impact,water_impact,recycling_rate,landfill_rate,incineration_rate
P017,Clay Roof Tile,end-of-life,clay,2.0,1.5,18,2.0,0.8,1.5,1.6,0.2,0.7,0.1
P018,Aluminum Window Frame,manufacturing,aluminum,15.0,135.0,160,0.75,75.0,510.0,3045.0,0.85,0.1,0.05
P018,Aluminum Window Frame,transportation,aluminum,15.0,20.0,130,0.0,18.0,110.0,600.0,0.0,0.0,0.0
P018,Aluminum Window Frame,end-of-life,aluminum,15.0,15.0,30,15.0,1.5,15.0,9.0,0.85,0.1,0.05
P019,Steel Roof Panel,manufacturing,steel,80.0,200.0,170,4.0,288.0,1800.0,12120.0,0.9,0.05,0.05
P019,Steel Roof Panel,transportation,steel,80.0,25.0,140,0.0,80.0,425.0,2400.0,0.0,0.0,0.0
P019,Steel Roof Panel,end-of-life,steel,80.0,20.0,32,80.0,8.0,20.0,8.0,0.9,0.05,0.05
P020,Wood Stud,manufacturing,wood,30.0,48.0,90,1.5,48.0,288.0,2424.0,0.8,0.15,0.05
P020,Wood Stud,transportation,wood,30.0,8.0,70,0.0,18.0,98.0,0.0,0.0,0.0,0.0
P020,Wood Stud,end-of-life,wood,30.0,6.0,22,30.0,12.0,6.0,6.0,0.8,0.15,0.05
